Name,Group,1-AMINOCYCLOPROPANECARBOXYLATE,3-DEHYDROSHIKIMATE,4-GUANIDINOBUTANOATE,5-METHYLCYTIDINE,ADENINE,ADENOSINE DIPHOSPHATE RIBOSE,ANSERINE,ARGININE,ASPARAGINE,ASPARTATE,BETA-NICOTINAMIDE ADENINE DINUCLEOTIDE,CARNOSINE,CDP-ETHANOLAMINE,CORTISOL,CREATINE,CYSTATHIONINE,CYTIDINE,CYTIDINE MONOPHOSPHATE,DEOXYADENOSINE MONOPHOSPHATE,DEOXYCARNITINE,DEOXYCYTIDINE,DEOXYGUANOSINE,GLUTAMINE,GLUTARYLCARNITINE,GLUTATHIONE REDUCED,GLYCEROL 3-PHOSPHATE,GLYCINE,GUANINE,HISTIDINE,HYPOTAURINE,HYPOXANTHINE,INOSINE-MONOPHOSPHATE,ISOLEUCINE,KYNURENINE,L-CARNITINE,LUMICHROME,LYSINE,METHIONINE,"N,N-DIMETHYLARGININE",N-ACETYLASPARAGINE,N-ACETYLNEURAMINATE,N-ALPHA-ACETYLLYSINE,NICOTINAMIDE,NICOTINAMIDE MONONUCLEOTIDE,NICOTINATE,O-PHOSPHOETHANOLAMINE,OPHTHALMATE,ORNITHINE,PHENYLALANINE,PHOSPHORYLCHOLINE,PIPECOLATE,PROLINE,PTERIN,PYRIDOXAL,PYRIDOXAL-PHOSPHATE,RIBOFLAVIN,SERINE,SHIKIMATE,SUBERATE,TAURINE,TRIGONELLINE,TRIMETHYLAMINE OXIDE,TRYPTOPHAN,TYROSINE,URACIL,URATE,UREIDOPROPIONATE,URIDINE MONOPHOSPHATE,UROCANATE,XANTHINE
CSG 002,Solvent Gill,130557103.6,10092684.12,1126816.162,814813.779,5790833.238,7775665.107,136165906.8,16250332.89,21958242.32,25371390.84,1508309.262,41927200.12,1738651.449,527567.2346,1054492441,16463419.64,34040309.09,15375209.17,615251.2214,464879088.9,581577.4108,949682.9606,124097702.9,548155.2629,4946376.653,6543851.869,31257014.07,40320841.08,93978218.24,49494674.62,213920974.1,210698635.7,60935783.74,163958.4114,93995390.92,561613.4707,10191599.33,39652921.44,6307108.829,1299507.674,4214624.376,2419963.84,111671929.7,1590537.811,1106784.973,54273630.12,33686902.98,380951.8908,133293865.9,614567489.5,4793226.558,218744675.3,48307.21779,868958.0468,1335631.235,3446351.374,27646142.79,4489374.908,869499.1204,372159098.2,3694463.845,14566032.47,847438.7388,34046651.85,18299828.52,532077.7985,478083.9078,2930023.338,615634.6061,4281929.73
CSG 003,Solvent Gill,146170868.6,35605268.37,1863998.178,620831.2808,5238264.18,2525194.352,131532252.9,20447028.74,22978413.73,24994908.51,979390.868,51822362.37,2307465.589,427909.2083,921581829.4,15724345.09,34883471.31,17910352.08,882792.6015,321711545.7,531656.939,1761164.75,147933320.1,813846.6117,74016300,8351642.669,27450133.81,52117163.76,75302704.39,43269175.15,325564417.8,117298980.6,44055979.55,266884.1462,105283885.7,915413.0378,7291284.583,51472624.14,6843326.03,2405145.266,8460480.336,4490728.066,153325642.7,2036370.333,1897158.575,76231827.02,16714241.5,426828.0177,144210809.6,662262127.7,3612134.051,161110012.1,187990.4373,1464669.289,2093364.395,7050622.287,22683886.66,12122577.93,848187.0863,415955005.4,4141144.318,13301187.42,407626.8828,45334603.93,27001664.89,3792190.002,342282.1861,1957376.99,1269697.736,17191296.73
CSG 004,Solvent Gill,134551352.3,18964425.81,2768733.421,872066.6716,5784758.847,7310397.315,205107219.2,20209015.47,25521998.23,28291889.41,1628300.207,47581251.78,1966937.941,512866.2217,1389568890,14109217.81,34330282.2,15474074.46,655945.8006,603301905,662766.5814,1562317.782,129198965.5,711543.6881,9861124.119,6934157.068,36828130.92,36077542.45,111405023.6,32366969.05,245002133.5,226577930.9,57122486.52,142475.0498,99960831.04,542210.6697,10139103.89,48457547.6,6685179.051,801263.9896,6665337.24,2870427.222,116511539.6,1615667.537,1043431.214,68391850.56,30050259.18,399045.9041,154122229.1,637078324.3,3775669.675,223169462.5,134402.7174,807482.9424,1692282.459,2645415.756,25891711.6,6831257.7,612326.9448,415708028.1,3602821.529,25658926.81,924925.0247,40241784.61,17094519.42,1480985.648,537558.693,2876255.664,798392.4593,5140453.601
CSG 005,Solvent Gill,148083136.4,160693.8928,3716273.737,988866.3664,5203341.717,5559603.303,99718896.03,20423461.35,29959554,35766280.39,920725.7299,41950884.95,1959884.709,427511.2264,769393539.8,17253322.08,36153612.33,17411989.31,666962.2714,460806863.3,538021.1284,1700356.452,160688210.9,687030.8296,1969127.666,6503715.041,27285983.27,69495515.09,64530915.3,38242004.42,275217137.7,182599271.2,61235005.3,234519.5494,131657064.2,653895.7683,9452048.901,42373175.9,7220829.434,1251907.751,8347432.568,3189975.682,119209539.5,1824803.715,1009890.685,62875105.59,25202093.04,392699.2132,135417820.6,645335572.8,3720943.005,327919563.3,90775.2926,885792.0008,1286907.098,5041756.804,22882965.23,1116504.56,828182.231,385785421.4,4102503.434,10026364.57,347591.5307,32375503.09,19566902.89,53474.96212,384009.8145,2361291.449,624969.7144,5503998.917
CSG 006,Solvent Gill,139342022.1,12631404.74,1100720.73,932733.2033,5085479.357,5523812.23,175004650.5,20912835.96,22360309.16,24452251.94,1044740.298,49339349.12,1762614.498,585633.1975,1213580568,15338996.23,34980364.9,15481214.68,626492.1533,607172591.6,513528.2888,1742966.586,139817682.3,760113.6203,16601268.61,7390067.695,38480366.99,76844545.03,78400241.19,33588081.25,285267400.4,185100029.5,57633149.17,449800.8837,118040327.7,1107890.305,9736418.844,55992361.83,9172511.716,1024497.423,7031254.667,2364849.937,134587360.9,1657326.706,921425.4459,63199206.12,22612692.73,485023.5841,170607419,639445766.6,3867340.005,264489377.4,148340.979,937745.3119,1699898.307,4967379.242,26230832.43,4817789.125,770617.5222,420309747.7,4028327.809,21106688.56,506848.7705,47960918.84,23776937.39,43641.13308,442576.0724,2155964.17,788105.421,10377251.42
CSL 001,Solvent Liver,331804640.2,31314695.98,2054265.731,561631.3447,71568663.76,41256603.34,3641240.215,24149462.37,28865115.04,39550781.58,3502012.564,2335549.362,4929619.303,1828243.181,161075375.4,75919112.16,52051714.34,29702126.62,842022.0399,53586954.15,106102.8014,46341.1694,509071360.1,128481.7194,2012909751,11082199.25,11848438.53,1254562.376,93450979.95,5424960.916,21769844.2,58365398.95,85143206.55,1826836.902,43409160.89,2063535.067,27701378.17,70062865.97,19052399.93,144809134.5,12260536.52,53880257.81,473572068.3,444515.0969,4500559.678,108584988.2,190237554.6,2927760.193,154318667.8,421424532.1,5448915.231,789488174,532735.0537,1255036.738,5403583.402,800224.796,29603006.48,10749884.73,927978.4567,279721083.7,2175493.482,668773.3324,691801.1264,95539806.92,4738921.676,9073326.072,1173055.087,13143117.14,3676862.285,19384697.77
CSL 002,Solvent Liver,248471675.8,32096255.06,1672861.433,82901.91075,174894373.9,92962468.43,6132605.225,32775693.7,46499253.28,25665982.11,3636506.912,2913943.656,5810778.761,1761861.21,208727177.8,18207229.42,2597636.481,50199967.23,710211.4728,124560176,40310.52237,450070.7608,384026524.3,500577.1796,1818952430,7780702.405,10964565.43,3977606.837,86543856.59,1014567.552,4968412.914,20473090.36,85810351.51,1028881.414,72830926.06,2379328.412,21087781.81,49521658.61,12921583.67,209398671.9,12522382.35,49498452.72,501226643.3,463772.9851,2293396.488,113598789.3,177400069,1811961.323,108725589.5,329874680.2,3205429.143,249036328.2,508040.6718,1848523.597,6180930.665,2332835.051,20769233.22,10704166.43,924728.8019,415370833.3,3655845.331,523496.4513,176913.2366,55122551.59,3375262.659,3307154.41,947430.3042,21531464.37,4329016.9,4144679.918
CSL 003,Solvent Liver,243233024.1,15306700.82,2984322.639,750387.5625,57780609.63,51334968.06,8950756.914,27347047.88,10967902.29,33708380.01,19433190.2,2499457.89,4117811.726,1780637.091,294314305.1,59467322.19,30537217.26,32963020.05,1535684.958,150699013.9,130110.7639,447755.1458,378062898.9,334174.6525,1973943123,26805633.64,10456605.3,9364360.016,89624664.37,5903506.143,40023979.66,37724301.65,100379639,2497221.794,96770631.9,1975730.981,25052476.62,62643030.88,17226705.3,110939110.8,12664614.67,33858676.05,351727487.1,796630.4931,3372469.717,106773699.9,182910461.9,1715227.162,178441479.4,585817500.7,5719574.331,461439643,546967.4579,1751590.45,6070763.285,1176479.679,32036475.77,5692667.841,1049232.105,407857126.2,2279659.637,1029221.274,1079120.861,90567600.47,3445552.484,33282744.1,472632.0276,12118351.26,2784543.226,28852329.76
CSL 004,Solvent Liver,375598076.4,31767087.5,2349175.451,441492.4399,121362241.2,30149116.02,2874227.558,41239436.19,33002220.28,35996051.76,3298778.821,2138171.943,4382927.199,1790547.492,214137247.8,32657629.21,31593326.29,25625137.2,2141507.906,137691126.2,77776.99103,353569.5312,613521536.6,436626.8874,2240487936,10316590.94,11568338.11,178359.5462,92406108.26,3872428.246,42659716.8,53645656.87,98808348.92,3761193.39,110136027.7,2210960.054,37092245.31,93209895.37,28402431.6,127859974.4,12270683.61,56392900.38,465386593.8,631761.4181,4069923.767,112705352.4,129303794.5,3237018.272,143268364.9,362011163.8,5786356.654,460291149.3,559781.0417,1726513.506,5012875.461,1532221.522,27891399.52,10679738.42,828541.4622,292959544.5,2431991.488,1194913.929,625184.4453,123597968.5,3333514.6,4793490.21,1532694.166,10017069.68,2830624.454,29648374.97
CSL 005,Solvent Liver,322489762.7,21481091.54,2484095.092,404226.4772,60071672.81,68668980.4,7919454.003,24971523.12,15413757.48,34511692.75,7691065.132,4504033.375,5013356.488,922703.8853,286323161.7,46802383.81,37987499.72,32553755.97,1622077.194,126540565.8,100122.3613,377402.7123,406539848.5,422112.4967,1948312650,18330025.38,9788051.336,4609906.903,101546026.8,2018848.665,33474839.07,35399007.69,80225797.76,2080232.633,68285744.97,1913722.562,18058215.79,54572226.05,11359345.32,93112371.47,13700134.88,48125452.65,437968814.4,451004.2998,4547650.779,86086746.47,148998760.6,1085727.439,146896582.7,625943172.5,6376543.716,468350962.3,530149.7721,1086229.237,4859887.152,1123060.865,24324867.54,7435659.752,1037431.867,390506454.6,2112266.667,1125224.981,625992.8009,77302431.77,4945926.434,26081502.24,497645.2785,11367654.47,2008050.393,28368639.48
CSL 006,Solvent Liver,286855740.9,15147518.71,2857977.843,452446.3928,179987748.8,65862450.93,6968388.062,20583346.74,20498287.73,23658930.57,4351367.83,1894981.92,5474511.573,1205985.775,256923672.6,24380465.35,24470061.8,33609042.09,2061832.674,110069499.9,40820.76699,1099898.736,455664483.1,365942.7685,1926784620,13749588,9709271.199,9472963.528,77676920.68,7657325.104,11345200.3,80719264.75,84875916.82,2675266.041,77729913.53,2042175.347,28163007.87,57800492.59,19667441.39,131956680.2,12369525.4,19418356.34,565210880.9,645543.2465,7129833.102,109787170.2,124519407.5,2704904.879,89777876.59,417500910.6,5116937.004,360853514.2,502617.5633,1675708.655,6364410.225,2026572.787,19656489.66,5525820.319,915319.6866,304821329.8,2199513.288,885193.3941,851126.3461,88386012.44,4741896.642,2251965.701,1429137.111,8986116.82,3472505.825,4409697.917
